OBJECTID,LAD22CD,LAD22NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
1,E06000001,Hartlepool,447160,531474,-1.27018,54.67614,66108.5070443001,98351064.5460798
2,E06000002,Middlesbrough,451141,516887,-1.21099,54.54467,41053.9636225345,54553581.0661136
3,E06000003,Redcar and Cleveland,464361,519597,-1.00608,54.56752,105290.612263408,253785359.487679
4,E06000004,Stockton-on-Tees,444940,518183,-1.30664,54.556911,108081.247882644,209730801.532731
5,E06000005,Darlington,428029,515648,-1.56835,54.535339,107202.299425244,197477753.555023
6,E06000006,Halton,354246,382146,-2.68853,53.33424,60715.737876121,90321511.7565315
7,E06000007,Warrington,362744,388456,-2.5616701,53.391628,84151.9545645274,182383630.370298
8,E06000008,Blackburn with Darwen,369490,422806,-2.4635999,53.700802,65284.373515037,137022093.525703
9,E06000009,Blackpool,332819,436635,-3.0219901,53.82164,36302.2583829651,43150733.0974836
10,E06000010,"Kingston upon Hull, City of",511894,431650,-0.30382001,53.769199,46015.4897786827,81468835.7593866
11,E06000011,East Riding of Yorkshire,488056,443597,-0.66194999,53.881119,376783.992969645,2491782366.54313
12,E06000012,North East Lincolnshire,523465,404564,-0.13911,53.52327,90686.3131572922,202662627.839239
13,E06000013,North Lincolnshire,497800,410993,-0.52407002,53.58643,183996.302751743,878893399.602416
14,E06000014,York,460864,452589,-1.07375,53.96582,99462.6409193562,272009286.325572
15,E06000015,Derby,435609,335375,-1.47189,52.914639,50036.3185804889,78031107.3558926
16,E06000016,Leicester,458946,304594,-1.1303999,52.635921,51929.4942082033,73342034.1652942
17,E06000017,Rutland,492992,308655,-0.62629998,52.667648,125879.320087915,393748938.333902
18,E06000018,Nottingham,456082,339969,-1.16667,52.954189,58723.7427401093,74613549.3097304
19,E06000019,"Herefordshire, County of",349434,242834,-2.73931,52.081539,349869.988254533,2179708317.85771
20,E06000020,Telford and Wrekin,367035,313057,-2.4894099,52.714169,118775.749483715,290313536.554375
21,E06000021,Stoke-on-Trent,389438,346652,-2.15888,53.017071,63971.3417170553,93448551.6494072
22,E06000022,Bath and North East Somerset,366217,161999,-2.4865401,51.356041,141674.070852301,351123167.511109
23,E06000023,"Bristol, City of",359990,174846,-2.57742,51.471149,145449.691824655,235441930.467042
24,E06000024,North Somerset,347614,166718,-2.75438,51.39706,140519.827909511,390467165.644691
25,E06000025,South Gloucestershire,367559,183198,-2.4692199,51.54673,159811.066254149,536758456.067128
26,E06000026,Plymouth,249945,58255,-4.1129699,50.404942,63584.4674179895,84369818.632876
27,E06000027,Torbay,289730,64613,-3.5552299,50.470921,52377.8438897382,119452393.622127
28,E06000030,Swindon,418551,186564,-1.73367,51.577629,103011.758683882,230093343.900236
29,E06000031,Peterborough,517372,300777,-0.26874,52.59214,112631.518789502,343437867.095989
30,E06000032,Luton,508606,222559,-0.42319,51.891022,34569.1847138739,43352485.6741184
31,E06000033,Southend-on-Sea,587777,186837,0.70692301,51.549171,72409.3721202962,67964151.3295319
32,E06000034,Thurrock,562123,181590,0.33486101,51.509979,77780.6305595655,184431446.74415
33,E06000035,Medway,578207,175198,0.56317401,51.44772,92548.7653495281,268923292.042036
34,E06000036,Bracknell Forest,488169,168792,-0.73363,51.411301,62507.6688894678,109384217.922063
35,E06000037,West Berkshire,450575,172095,-1.27364,51.445591,166818.256909513,704182731.436693
36,E06000038,Reading,470226,173154,-0.99071002,51.453018,39327.6361285706,40397937.1150196
37,E06000039,Slough,498920,179246,-0.57617003,51.503502,44179.9803340001,32542015.6791033
38,E06000040,Windsor and Maidenhead,492079,176541,-0.67540997,51.480339,114827.85425453,198427158.640667
39,E06000041,Wokingham,476624,169902,-0.89934999,51.422958,86869.6892364654,178969062.886199
40,E06000042,Milton Keynes,486408,242308,-0.74070001,52.072411,102957.957280917,308626721.690451
41,E06000043,Brighton and Hove,530279,106850,-0.15079001,50.8465,58179.730896897,85385921.6308689
42,E06000044,Portsmouth,465619,101352,-1.07006,50.807999,42345.7561550182,60131417.417975
43,E06000045,Southampton,442303,113700,-1.39952,50.9212,37284.9505247132,56385148.867545
44,E06000046,Isle of Wight,447183,85949,-1.33366,50.671291,124853.614938307,392824490.532734
45,E06000047,County Durham,410381,532242,-1.8405,54.685131,310208.183249691,2232584261.3879
46,E06000049,Cheshire East,380510,363462,-2.29299,53.167931,301202.123887001,1166357340.22482
47,E06000050,Cheshire West and Chester,353097,363145,-2.70298,53.163361,258505.194644102,941207319.798833
48,E06000051,Shropshire,350227,302960,-2.73667,52.62212,580599.517826254,3197275322.10225
49,E06000052,Cornwall,212497,64493,-4.64254,50.450218,873551.599856103,3611926259.03619
50,E06000053,Isles of Scilly,91327,11447,-6.3021698,49.923321,180267.136157056,22851421.5874944
51,E06000054,Wiltshire,405209,158863,-1.92661,51.328831,401997.073738197,3255338105.52667
52,E06000055,Bedford,505721,256463,-0.45462999,52.196281,131719.277394327,476408313.585462
53,E06000056,Central Bedfordshire,504615,234492,-0.47753999,51.999031,232685.180099796,715665436.199321
54,E06000057,Northumberland,395322,600700,-2.0752299,55.300381,558791.829751923,5078358538.27702
55,E06000058,"Bournemouth, Christchurch and Poole",410815,94066,-1.84807,50.74609,90433.0073880682,173932087.961538
56,E06000059,Dorset,370871,99796,-2.41467,50.79697,416747.921161857,2521074343.71083
57,E06000060,Buckinghamshire,482506,208561,-0.80568999,51.769661,361907.474854912,1564937984.73646
58,E06000061,North Northamptonshire,493590,281718,-0.62503999,52.425461,210624.116197609,986594539.216203
59,E06000062,West Northamptonshire,467187,263879,-1.01682,52.268978,263780.515769497,1380395590.74647
60,E07000008,Cambridge,545420,257901,0.126436,52.200169,37169.1755199722,40698821.5531483
61,E07000009,East Cambridgeshire,555576,275765,0.283149,52.35788,192581.077013441,651720387.873582
62,E07000010,Fenland,536361,294959,0.0090159997,52.535439,153632.167779411,547355452.618081
63,E07000011,Huntingdonshire,521008,274269,-0.2247,52.353149,222217.159195719,912545809.932231
64,E07000012,South Cambridgeshire,543295,247586,0.091017,52.108051,256916.188353058,901687092.783795
65,E07000026,Allerdale,317520,532997,-3.2809,54.685242,241279.452204251,1320568294.90522
66,E07000027,Barrow-in-Furness,321741,474165,-3.1998999,54.15731,80045.8146728079,132075307.180395
67,E07000028,Carlisle,348576,565154,-2.80498,54.978329,217375.635717721,1056791943.76107
68,E07000029,Copeland,310871,508739,-3.3766401,54.466171,164130.743989366,775540935.514933
69,E07000030,Eden,359636,526396,-2.62678,54.631069,268766.165774267,2156479430.46457
70,E07000031,South Lakeland,349265,489555,-2.78108,54.29908,323037.2378998,1743488742.00128
71,E07000032,Amber Valley,436166,348084,-1.46219,53.028839,109015.606044318,265437895.570174
72,E07000033,Bolsover,448666,371548,-1.27228,53.23875,96233.3664932634,160334643.51285
73,E07000034,Chesterfield,440049,373359,-1.40115,53.255749,52615.4706045034,66035323.1430878
74,E07000035,Derbyshire Dales,419697,358493,-1.70711,53.12326,245455.056178363,795318009.745209
75,E07000036,Erewash,443721,338063,-1.3509001,52.938202,73544.8394314226,109630039.364225
76,E07000037,High Peak,410474,387660,-1.84398,53.385689,159628.494883945,540254001.17195
77,E07000038,North East Derbyshire,437369,362955,-1.44253,53.16243,161225.071207052,275623494.267418
78,E07000039,South Derbyshire,431443,325363,-1.5348001,52.824902,166687.786160215,338126978.454954
79,E07000040,East Devon,313787,96051,-3.22364,50.75761,217426.427852526,822443250.853657
80,E07000041,Exeter,293239,92005,-3.51368,50.717819,37259.8461348524,47884796.9208729
81,E07000042,Mid Devon,288064,108911,-3.5921199,50.86882,246619.148115469,912900687.436988
82,E07000043,North Devon,265110,132532,-3.9269099,51.07621,252307.260802061,1104740393.81221
83,E07000044,South Hams,270676,54036,-3.8199601,50.371948,349372.92257591,905130476.490632
84,E07000045,Teignbridge,283144,80205,-3.65289,50.60981,161961.522520559,680052721.300995
85,E07000046,Torridge,244206,114334,-4.2172799,50.907391,325999.472154573,995287725.186664
86,E07000047,West Devon,256376,86990,-4.0336099,50.66481,241057.98789461,1164731578.10618
87,E07000061,Eastbourne,559339,99575,0.25851601,50.773869,36360.1959360357,45331279.7855287
88,E07000062,Hastings,581528,110694,0.57839501,50.867241,35829.4257312627,30801104.2222098
89,E07000063,Lewes,541474,105686,0.007671,50.833408,116639.789777453,294397948.37748
90,E07000064,Rother,578721,119666,0.54293698,50.948711,163781.131743846,517123484.140981
91,E07000065,Wealden,555048,117180,0.205156,50.93322,218977.416566408,836160747.637603
92,E07000066,Basildon,571548,190848,0.47505501,51.590359,59682.7276589601,110449130.919031
93,E07000067,Braintree,577253,227335,0.57591099,51.91634,168682.860674143,611708022.085835
94,E07000068,Brentwood,558560,196070,0.29009101,51.641079,72338.7211144118,153124041.919708
95,E07000069,Castle Point,579490,187920,0.58808398,51.561588,45505.9660501727,63622071.0460741
96,E07000070,Chelmsford,572116,206972,0.49117699,51.735031,113215.91129173,342997310.005802
97,E07000071,Colchester,596944,223693,0.85977697,51.877022,131019.693361933,346773262.039531
98,E07000072,Epping Forest,548919,203759,0.154147,51.712799,123269.197706998,338984118.260993
99,E07000073,Harlow,545276,209589,0.103888,51.76614,28513.3707443895,30537927.5585314
100,E07000074,Maldon,591413,212072,0.77310598,51.774578,109042.508277985,428049209.804514
101,E07000075,Rochford,585979,191417,0.683442,51.5909,195284.033564363,262900355.149339
102,E07000076,Tendring,614190,222141,1.108981,51.856739,99196.0018990169,366182684.386463
103,E07000077,Uttlesford,557832,228865,0.294485,51.935921,166503.257259224,641182884.003171
104,E07000078,Cheltenham,394925,222232,-2.07515,51.898609,38220.6903355067,46596063.9630439
105,E07000079,Cotswold,402125,208209,-1.97059,51.772549,332430.632142207,1164524434.80987
106,E07000080,Forest of Dean,367175,212759,-2.47755,51.812489,191241.011013552,561873675.617496
107,E07000081,Gloucester,384071,216449,-2.23263,51.846409,31271.5331999902,40826604.4434794
108,E07000082,Stroud,378807,202410,-2.3081801,51.720009,171890.078096168,475427750.57012
109,E07000083,Tewkesbury,386347,226279,-2.19998,51.934849,201664.863427023,414975908.13882
110,E07000084,Basingstoke and Deane,454508,151423,-1.22021,51.259369,143445.561610085,633808768.307362
111,E07000085,East Hampshire,474405,129237,-0.93970001,51.057652,144529.50155922,514427244.742776
112,E07000086,Eastleigh,447199,116807,-1.32947,50.948761,68065.1016413828,85297359.6788767
113,E07000087,Fareham,453774,106319,-1.23742,50.853882,55256.5716930204,77884460.3738965
114,E07000088,Gosport,458769,101088,-1.16731,50.806358,25712.9136608269,27607879.6258838
115,E07000089,Hart,477985,154240,-0.88321,51.281971,77846.4171414185,215265062.888568
116,E07000090,Havant,470178,108564,-1.00398,50.872311,56128.4153803807,78947468.6458706
117,E07000091,New Forest,428748,106521,-1.59293,50.857479,183518.203974047,776285690.117008
118,E07000092,Rushmoor,486022,153944,-0.76806998,51.278149,31890.6799933273,39045031.3519522
119,E07000093,Test Valley,434930,137329,-1.50214,51.134171,185887.250546779,627632026.747462
120,E07000094,Winchester,453115,125901,-1.24393,51.030022,168124.187739267,661061291.856428
121,E07000095,Broxbourne,534742,204251,-0.050730001,51.720798,39066.0781406613,51442323.4619497
122,E07000096,Dacorum,500084,208745,-0.55097997,51.768452,110099.851922616,212476384.668282
123,E07000098,Hertsmere,519774,199352,-0.26899001,51.680168,61226.9755336208,101128118.175659
124,E07000099,North Hertfordshire,522191,230255,-0.22315,51.957371,168304.522402386,375382263.828698
125,E07000102,Three Rivers,507313,196418,-0.45005,51.656319,74110.3792841158,88824130.6231794
126,E07000103,Watford,510441,198197,-0.40428999,51.6717,26390.2208397151,21430353.229502
127,E07000105,Ashford,597640,140644,0.82337397,51.130959,149444.582577307,580617311.896739
128,E07000106,Canterbury,616032,158096,1.096342,51.281021,121122.697914939,318604498.426348
129,E07000107,Dartford,556167,172917,0.245276,51.433731,52446.6476596472,76310455.6152036
130,E07000108,Dover,628964,150942,1.2768871,51.211761,117252.015144093,320781018.558195
131,E07000109,Gravesham,566969,169114,0.39874399,51.396488,59359.6760589332,104958772.581249
132,E07000110,Maidstone,580489,151670,0.58406103,51.235661,121872.4250512,393350723.255159
133,E07000111,Sevenoaks,552776,155218,0.188936,51.275631,134424.857442803,370347002.873006
134,E07000112,Folkestone and Hythe,610318,134595,1.000795,51.072128,151365.397197807,365467308.184132
135,E07000113,Swale,593583,161818,0.77689302,51.32251,109855.355161473,422001847.537362
136,E07000114,Thanet,631839,166752,1.328226,51.35252,59278.3738110156,112464079.036691
137,E07000115,Tonbridge and Malling,564014,153898,0.34930599,51.260639,109904.597735199,240973324.495362
138,E07000116,Tunbridge Wells,573139,136599,0.471632,51.102539,150582.555352952,331328785.658416
139,E07000117,Burnley,384886,430882,-2.2307999,53.774059,57758.3849479257,110683988.566855
140,E07000118,Chorley,359189,419724,-2.61921,53.672401,95553.28815079,202905506.241302
141,E07000119,Fylde,339554,433811,-2.9191401,53.797089,77382.1894679505,181731239.022532
142,E07000120,Hyndburn,374407,428971,-2.3896401,53.756481,42725.5895458216,73006531.994888
143,E07000121,Lancaster,356896,464988,-2.6603,54.07901,180293.05419528,653896975.124828
144,E07000122,Pendle,387637,443368,-2.18957,53.88636,79240.7874487148,169380123.604626
145,E07000123,Preston,352825,436432,-2.7180901,53.822021,71117.987874445,142944810.106093
146,E07000124,Ribble Valley,372687,447676,-2.4173999,53.9245,150567.848726776,584462410.815407
147,E07000125,Rossendale,382827,420955,-2.2614901,53.68478,71146.5805886303,138040945.395571
148,E07000126,South Ribble,352017,425840,-2.7287099,53.726749,75381.1691289276,114615037.81846
149,E07000127,West Lancashire,342611,413270,-2.8689301,53.612831,145999.774632111,380965598.950334
150,E07000128,Wyre,347295,445159,-2.8035901,53.89991,139172.008154501,328789981.862474
151,E07000129,Blaby,454385,297994,-1.1988699,52.577061,100814.853323911,130468683.747392
152,E07000130,Charnwood,458365,316155,-1.13694,52.739899,115467.998574257,279042271.32713
153,E07000131,Harborough,474549,293875,-0.90228999,52.537659,185943.110691819,592692009.023487
154,E07000132,Hinckley and Bosworth,439538,301379,-1.41755,52.608768,111542.038513824,297351522.797929
155,E07000133,Melton,477328,323472,-0.85439998,52.803291,140624.572169109,481380450.704316
156,E07000134,North West Leicestershire,439111,316252,-1.4220901,52.7425,116450.135016811,279328099.663439
157,E07000135,Oadby and Wigston,461543,299379,-1.0930001,52.588749,31168.1447108195,23526168.5617815
158,E07000136,Boston,526851,343953,-0.11218,52.97794,114895.261356042,397792639.440678
159,E07000137,East Lindsey,534861,376064,0.020516001,53.264462,212614.899578019,1830857187.04966
160,E07000138,Lincoln,496347,370096,-0.55848002,53.219212,32968.7309952947,35690262.1784105
161,E07000139,North Kesteven,502135,354788,-0.47670001,53.080582,181805.062441591,922471413.91775
162,E07000140,South Holland,532910,322928,-0.03057,52.787579,193033.601421038,815503784.388168
163,E07000141,South Kesteven,501406,328986,-0.49564999,52.84885,209809.642173754,942585741.048617
164,E07000142,West Lindsey,499314,390326,-0.50774002,53.40044,247204.136151344,1157652118.37819
165,E07000143,Breckland,591015,303330,0.81871599,52.594212,239522.366983952,1305116636.281
166,E07000144,Broadland,619864,315909,1.252317,52.69622,202153.182977637,553244263.927299
167,E07000145,Great Yarmouth,646761,315881,1.64951,52.684391,85343.7808652351,182555455.768242
168,E07000146,King's Lynn and West Norfolk,571219,315805,0.533243,52.71283,286981.939883618,1526887176.6474
169,E07000147,North Norfolk,611076,330857,1.132099,52.833889,234838.513619792,990128094.464525
170,E07000148,Norwich,622355,309773,1.284979,52.640129,91962.5996336807,40554064.2412462
171,E07000149,South Norfolk,628990,295823,1.373233,52.51218,231379.2255872,908906500.68074
172,E07000163,Craven,389513,461989,-2.16168,54.053761,199881.375346452,1178807535.35562
173,E07000164,Hambleton,443009,490546,-1.34049,54.30872,298682.454054928,1311256293.98625
174,E07000165,Harrogate,427473,464652,-1.58161,54.07708,246981.310508244,1309117875.80086
175,E07000166,Richmondshire,401039,495786,-1.98552,54.357609,221692.587160329,1318702662.09829
176,E07000167,Ryedale,474645,478532,-0.85734999,54.197128,290619.983456081,1576581127.0431
177,E07000168,Scarborough,487119,504929,-0.65851003,54.432339,260888.144834405,755507449.086392
178,E07000169,Selby,457551,426670,-1.1290801,53.733269,171487.04296683,602228016.983779
179,E07000170,Ashfield,450035,355843,-1.25422,53.097469,69168.0549787648,109557954.123823
180,E07000171,Bassetlaw,468073,384835,-0.97869998,53.356041,155034.048924792,639492618.491236
181,E07000172,Broxtowe,449829,341893,-1.2594399,52.972099,65996.6218856488,80098843.9171336
182,E07000173,Gedling,459184,347811,-1.1190701,53.024342,69750.8310113413,119981502.245994
183,E07000174,Mansfield,455047,363637,-1.17804,53.16703,51089.9016277907,76696927.4927333
184,E07000175,Newark and Sherwood,470624,357451,-0.94643003,53.1096,179813.123978475,651835341.530325
185,E07000176,Rushcliffe,466606,335453,-1.01097,52.912399,123321.322043074,409231546.467434
186,E07000177,Cherwell,449301,221201,-1.28506,51.887199,225617.39516414,588745404.830571
187,E07000178,Oxford,452277,206368,-1.24405,51.753571,34993.844626057,45602825.5071329
