node;event;node_loc_coord;ev_loc_city;ev_loc_country;ev_loc_coord;node_type;ev_type;ev_cost;ev_url;start_date;end_date;mode
The Centre for Investigative Journalism (TCIJ);Investigating Data with R;51.484240591563655, -0.034740065353454516;online;online;51.484240591563655, -0.034740065353454516;;training;Entry fee;https://tcij.org/scheduled-training/investigating-data-with-r-5/;2021-11-22;2021-11-26;online
The Centre for Investigative Journalism (TCIJ);Finding Stories with Data Intensive;51.484240591563655, -0.034740065353454516;online;online;51.484240591563655, -0.034740065353454516;;training;Entry fee;https://tcij.org/scheduled-training/finding-stories-with-data-online-intensive-am/;2021-12-06;2021-12-09;online
The Centre for Investigative Journalism (TCIJ);Data-Driven Investigations Intensive;51.484240591563655, -0.034740065353454516;online;online;51.484240591563655, -0.034740065353454516;;training;Entry fee;https://tcij.org/scheduled-training/data-driven-investigations-online-intensive-am/;2021-12-13;2021-12-17;online
The Centre for Investigative Journalism (TCIJ);Deep Dive into Data Journalism Intensive;51.484240591563655, -0.034740065353454516;online;online;51.484240591563655, -0.034740065353454516;;training;Entry fee;https://tcij.org/scheduled-training/deep-dive-into-data-journalism-online-am/;2021-12-06;2021-12-17;online
Global Investigative Journalism Network (GIJN);GIJC22;;Sydney;Australia;-33.87311146945769, 151.19741353759122;non-profit;conference;Entry fee;https://gijn.org/2021/03/24/the-global-investigative-journalism-conference-goes-online-oct-2021-we-head-to-sydney-in-22/;2022-10-14;2022-10-18;physical
Arab Reporters for Investigative Journalism (ARIJ);ARIJ21;31.971679992908992, 35.91062271483663;online;online;31.971679992908992, 35.91062271483663;;award;;https://arij21.arij.net/en/home-english/;2021-12-03;2021-12-05;online
International Journalism Festival;International Journalism Festival;;Perugia;Italy;43.10715487290933, 12.383755369449768;;conference;Free event;https://www.journalismfestival.com/;2022-04-06;2022-04-10;physical
World Federation of Science Journalists (WFSJ);The World Conference of Science Journalists (WCSJ);45.49210174709884, -73.55791921805815;Medellín;Colombia;6.2447571057771825, -75.5761574920532;;conference;;https://www.wcsj.org/;2022-06-27;2022-07-01;physical
Arena for Journalism in Europe;DataHarvest - the European Investigative Journalism Conference 2022;;Mechelen;Belgium;51.02807789797367, 4.482167528003774;;conference;Entry fee;https://dataharvest.eu/;2022-05-19;2022-05-22;physical
The International Institute of Knowledge Management (TIIKM);Medcom 2022;6.86821413710747, 79.90986766931954;online;online;6.86821413710747, 79.90986766931954;;conference;Entry fee;https://mediaconference.co/;2022-05-05;2022-05-07;online
Investigatetive Reporters and Editors (IRE);NICAR22;;Atlanta;US;33.77220012919317, -84.41100069819632;non-profit;conference;Entry fee;https://www.ire.org/training/conferences/;2022-03-03;2022-03-06;physical
Investigatetive Reporters and Editors (IRE);IRE22;38.948373230514285, -92.32771483359268;Denver;US;39.735218959832466, -104.97940339355969;non-profit;conference;Entry fee;https://www.ire.org/training/conferences/;2022-06-23;2022-06-26;physical
Investigatetive Reporters and Editors (IRE);NICAR23;;Nashville;US;36.17079518047839, -86.766057448751;non-profit;conference;Entry fee;https://www.ire.org/training/conferences/;2022-03-02;2022-03-05;physical
Investigatetive Reporters and Editors (IRE);IRE23;38.948373230514285, -92.32771483359268;Orlando;US;28.539628959363952, -81.3852475056962;non-profit;conference;Entry fee;https://www.ire.org/training/conferences/;2022-06-22;2022-06-25;physical
The European Press Prize;The European Press Prize 2022 - Deadline;;online;online;52.36315043642138, 4.882950328938217;;award;;https://www.europeanpressprize.com/;;2021-12-10;online
The European Press Prize;The European Press Prize 2022 - Ceremony;52.36315043642138, 4.882950328938217;Amsterdam ;The Netherlands;52.36315043642138, 4.882950328938217;;award;;https://www.europeanpressprize.com/;2022-05-01;2022-06-22;physical
Knight Center for Journalism;International Symposium on Online Journalism (ISOJ);30.2856040819735, -97.7342283613688;Austin ;US;30.2856040819735, -97.7342283613688;;conference;;https://isoj.org/knight-center-announces-dates-for-the-23rd-isoj-in-person-and-online-in-april-2022/;2022-04-01;2022-04-02;physical
Association for Education in Journalism and Mass Communication (AEJMC);AEJMC22;;Detroit;US;42.32982639982823, -83.0395454063416;;conference;;https://www.aejmc.org/home/conferences/future-conferences/;2022-08-03;2022-08-06;physical
The Center for Journalism Ethics;Equity & Journalism, The Ethical Imperative;43.07701240528502, -89.41134505748165;Madison;US;43.07701240528502, -89.41134505748165;;conference;;https://ethics.journalism.wisc.edu/2022-equity-journalism-the-ethical-imperative/;2022-04-29;2022-04-29;physical
George Mason University;the Washington Journalism and Media Conference (WJMC) - session 1;38.833950356795434, -77.31390962695036;Washington ;US;38.833950356795434, -77.31390962695036;university;conference;;https://wjmc.gmu.edu/;2022-07-10;2022-07-15;physical
George Mason University;the Washington Journalism and Media Conference (WJMC) - session 2;38.833950356795434, -77.31390962695036;Washington ;US;38.833950356795434, -77.31390962695036;university;conference;;https://wjmc.gmu.edu/;2022-07-17;2022-07-22;physical
Northeastern University;Computation + Journalism Symposium;42.340615591730824, -71.08676844094705;TBA;TBA;42.340615591730824, -71.08676844094705;university;conference;;https://cj2021.northeastern.edu/;;;TBA
Escola de Dados (Open Knowledge Brasil);CODA21 (Conferencia Brasileira de Jornalismo de Dados e Metodos Digitais);-23.522342182123893, -46.640653746323615;online;online;-23.522342182123893, -46.640653746323615;;conference;;https://escoladedados.org/coda2021/;2021-11-08;2021-11-13;online
IJ4EU (from the International Press Institute);#UNCOVERED;48.20788647956072, 16.370336913354105;TBA;TBA;48.20788647956072, 16.370336913354105;;award;;https://uncovered.ij4.eu/;;;TBA
European Communication Research and Education Association (ECREA);Ecrea Journalism Conference - Journalism meets practice;52.089650958675755, 5.119225160397964;Utrecht;The Netherlands;52.089650958675755, 5.119225160397964;;conference;;https://ecreajournalism2022.journalismlab.nl/;2022-03-03;2022-03-04;physical
JournalismAI;JournalismAI Festival;51.514558960821994, -0.11645130196368181;online;online;51.514558960821994, -0.11645130196368181;;conference;Free event;https://www.journalismaifestival.com/;2021-11-29;2021-12-03;online
Open News;SRCCON 2022;44.97614036140219, -93.27349674200856;Minneapolis;US;44.97614036140219, -93.27349674200856;;conference;;https://srccon.org/;2022-06-22;2022-06-23;physical
;Internet Freedom festival;;TBA;TBA;;;conference;;https://internetfreedomfestival.org/;;;TBA
Deutsche Welle;Global Media Forum;50.72151078555031, 7.128641327895617;Bonn ;Germany;50.72151078555031, 7.128641327895617;news company;conference;;https://www.dw.com/en/shaping-tomorrow-now/a-59407905;2022-06-21;2022-06-22;physical
European Journalism Training Association (EJTA);EJTA AGM and Annual Conference;;TBA;TBA;;;conference;;https://www.ejta.eu/upcoming-events;;;TBA
Reynolds Journalism Institute;Women in Journalism Workshop;38.94748356516471, -92.3277311446263;Columbia;US;38.94748356516471, -92.3277311446263;university;training;Entry fee;https://rjionline.org/women-in-journalism-workshop-2022/;2022-04-08;2022-04-10;physical
M-100;M100 Sanssouci Media Award;52.3910000942729, 13.065171137684537;Potsdam ;Germany;52.3910000942729, 13.065171137684537;;award;;http://www.m100potsdam.org/en/;;;physical
M-100;M100 Sanssouci Colloquium;52.3910000942729, 13.065171137684537;Potsdam ;Germany;52.3910000942729, 13.065171137684537;;conference;;http://www.m100potsdam.org/en/;;;physical
M-100;M100 Sanssouci Young European Journalists Workshop;52.3910000942729, 13.065171137684537;Potsdam ;Germany;52.3910000942729, 13.065171137684537;;training;;http://www.m100potsdam.org/en/;;;physical
;Festival Gabo 2022;;Medellin;Colombia;;;conference;;https://premioggm.org/;;;TBA
Internazionale;Internazionale a Ferrara;44.83804390785527, 11.607817089456896;Ferrara;Italy;44.83804390785527, 11.607817089456896;;conference;;https://www.internazionale.it/festival;2022-09-30;2022-10-02;physical
The Power of Storytelling (POS);The Power of Storytelling Conference;;Bucharest;Romania;44.441510179699414, 26.0943948248965;;conference;;https://www.thepowerofstorytelling.org/;;;physical
SKUP;SKUP Data Journalism Conference;59.91078915410029, 10.747816996547797;Tonsberg;Norway;59.2711501683106, 10.417754423749955;;conference;;https://www.skup.no/program-data-skup-2019;2022-04-01;2022-04-03;physical
World Association of Newspapers (WAN);The Newsroom Summit;48.86509722447293, 2.3556285115281397;Munich;Germany;;;conference;;https://events.wan-ifra.org/events/the-newsroom-summit-2020;;;TBA
World Association of Newspapers (WAN);Digital Media Europe;48.86509722447293, 2.3556285115281397;TBA;TBA;;;conference;;https://events.wan-ifra.org/events/digital-media-europe-2020;;;TBA
;African Investigative Journalism Conference;;TBA;TBA;;;conference;;https://journalism.co.za/aijc/;;;TBA
John Hopkins;ISBCC SUMMIT;39.33004235993824, -76.62057134640058;Marrakech;Morocco;31.60044418889415, -7.98945037545681;university;conference;;https://sbccsummit.org/;2022-12-05;2022-12-09;physical
International News Media Association (INMA);Media Subscriptions Summit 6.0;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30927;2022-02-01;2022-02-15;online
International News Media Association (INMA);World Congress of News Media;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30928;2022-05-05;2022-05-26;online
International News Media Association (INMA);Asia/Pacific News Media Summit;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30929;2022-07-14;2022-07-15;online
International News Media Association (INMA);South Asia News Media Summit;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30963;2022-08-11;2022-08-12;online
International News Media Association (INMA);Latin America Media Summit;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30964;2022-08-25;2022-08-26;online
International News Media Association (INMA);Media Innovation Week;51.23623246625591, 4.404405120181749;Copenaghen;Denmark;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30934;2022-09-13;2022-09-16;physical
International News Media Association (INMA);Smart Data Summit;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30971;2022-10-13;2022-10-27;online
International News Media Association (INMA);Product Summit;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30965;2022-11-01;2022-11-15;online
International News Media Association (INMA);INMA World Congress of News Media;51.23623246625591, 4.404405120181749;New York;US;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30975;2023-05-15;2023-05-19;physical
International News Media Association (INMA);Africa Media Summit 3.0;51.23623246625591, 4.404405120181749;;;;;conference;Entry fee;https://www.inma.org/event-detail.cfm?eventId=30962;2022-07-28;2022-07-29;online
Futurex;Impact Summit ;;TBA;TBA;;;conference;;https://www.impact-summit.org/;2022-05-01;2022-05-01;physical
Gartner;Gartner Data & Analytics Summit;41.03108100956787, -73.5505599920414;Orlando;US;28.367581270995032, -81.56137674662853;company;conference;Entry fee;https://www.gartner.com/en/conferences/na/data-analytics-us/agenda;2022-03-14;2022-03-17;physical
Gartner;Gartner Data & Analytics Summit;41.03108100956787, -73.5505599920414;Tokyo;Japan;35.66842903887199, 139.74079851118472;company;conference;Entry fee;https://www.gartner.com/en/conferences/apac/data-analytics-japan;2022-04-19;2022-04-21;physical
Gartner;Gartner Data & Analytics Summit;41.03108100956787, -73.5505599920414;London;UK;51.50287118393709, -0.0005669552885132018;company;conference;Entry fee;https://www.gartner.com/en/conferences/emea/data-analytics-uk;2022-05-09;2022-05-11;physical
Gartner;Gartner Data & Analytics Summit;41.03108100956787, -73.5505599920414;Sydney;Australia;-33.86503342573821, 151.1530430737144;company;conference;Entry fee;https://www.gartner.com/en/conferences/apac/data-analytics-australia;2022-07-25;2022-07-26;physical
Growth Innovation Agility (GIA);World Data Summit;;Amsterdam;The Netherlands;52.37078828198369, 4.897435581775633;company;conference;Entry fee;https://worlddatasummit.com/#about;2022-05-18;2022-05-20;physical
Women in Analytics;Women in Analytics Conference ;39.98970653653939, -83.00525674762757;Columbus;US;39.98970653653939, -83.00525674762757;association;conference;Entry fee;https://womeninanalytics.com/conference/;2022-06-02;2022-06-03;physical
re:publica;re:publica22;52.529551256660454, 13.41080446931104;Berlin;Germany;52.49662457518742, 13.454338240474973;;conference;Entry fee;https://re-publica.com/en;2022-06-08;2022-06-10;physical
Web Summit;Web Summit 2022;53.30941618833237, -6.260159730664068;Lisbon;Portugal;38.76773810923068, -9.093806459908974;;conference;Entry fee;https://websummit.com/;2022-11-01;2022-11-04;physical
;ICJMMC 2021: Media and Mass Communication Conference;;Barcelona;;;;conference;;https://waset.org/search?q=journalism;;;TBA
;ICJMMC 2021: Media and Mass Communication Conference;;Athens;;;;conference;;https://waset.org/search?q=journalism;;;TBA
;ICJMMC 2021: Media and Mass Communication Conference;;Rome;;;;conference;;https://waset.org/search?q=journalism;;;TBA
;ICJMMC 2021: Media and Mass Communication Conference;;Amsterdam;;;;conference;;https://waset.org/search?q=journalism;;;TBA
;ICJMMC 2021: Media and Mass Communication Conference;;Berlin;;;;conference;;https://waset.org/search?q=journalism;;;TBA
;ICJMMC 2021: Media and Mass Communication Conference;;Istanbul;;;;conference;;https://waset.org/search?q=journalism;;;TBA
;ICJMMC 2021: Media and Mass Communication Conference;;Tokyo;;;;conference;;https://waset.org/search?q=journalism;;;TBA
